Ohio Union (Northbound), 6
Arps Hall, 8
Blackburn House, 8
Mason Hall, 1
St. John Arena (Westbound), 7
Midwest Campus (Westbound), 2
Fred Taylor & Schottenstein Drive., 4
Buckeye Lot Loop, 7
Midwest Campus (Eastbound), 7
Mid Towers South, 11
Herrick Transit Hub, 9
11th & Worthington, 11
St. John East Bound, 12
Knowlton Hall, 12
Fontana Lab, 6
High And 15th, 11
High And Chittenden, 7
Mount Hall Loop, 9
Carmack 5 + Stop 1, 8
Carmack 5 + Stop 2, 9
Research Center, 4
Kinnear Road Lot, 6
Blankenship Hall, 5
Stillman Hall, 11
Ohio Union (Southbound), 5
Siebert Hall, 7
Mack Hall, 12
4th & 15th, 6
4th & 18th, 3
4th & Lane (North Of Lane), 4
4th & Alden Avenue, 10
4th & Maynard (North Of Maynard), 6
Summit & Tompkins, 4
Summit & Maynard, 9
Summit & Alden, 4
Summit & Lane, 4
Summit & 18th Avenue, 10
Summit & 15th (South Side Of 15th), 2
Summit & Chittenden (South Side Of Chitt), 12
11th & Indianola (Westbound), 8
11th & High (Westbound), 5
11th & High (Eastbound) , 5
11th & Indianola (Eastbound), 8
4th & Chittenden Avenue, 3
Doan Hall, 6
Carmack 2, 0
Service Annex, 11
Mid Towers North, 3
Fisher Commons, 1
Stores And Receiving, 12
